TotalInvoices,TotalQuantity,TotalPrice,Recency,CancellationPercentage,AvgItemsPerOrder
17,53,-51.74000000000524,325,27.659574468085108,3.1176470588235294
8,2967,4921.53,1,0.0,370.875
5,2714,2019.3999999999999,74,0.0,542.8
5,1619,4404.54,18,2.7777777777777777,323.8
1,197,334.40000000000003,309,0.0,197.0
1,261,300.93,374,0.0,261.0
13,658,1889.21,35,8.849557522123893,50.61538461538461
2,212,406.76,203,0.0,106.0
1,530,1079.4,231,0.0,530.0
2,543,947.61,213,0.0,271.5
6,3416,6371.7300000000005,22,0.0,569.3333333333334
5,1079,3887.07,1,0.0,215.8
14,2513,8652.34,7,2.6881720430107525,179.5
9,2458,4212.89,51,0.45871559633027525,273.1111111111111
4,235,511.25,286,0.0,58.75
14,2213,5284.58,2,2.909090909090909,158.07142857142858
2,408,552.0,109,0.0,204.0
4,1506,1313.1,7,0.0,376.5
3,173,320.69,290,4.3478260869565215,57.666666666666664
1,296,500.24,633,0.0,296.0
1,173,168.9,3,0.0,173.0
1,330,917.7,627,0.0,330.0
3,1241,1791.15,412,0.0,413.6666666666667
7,2604,4316.56,50,0.0,372.0
5,1436,4067.38,44,0.0,287.2
3,794,1298.04,71,0.0,264.6666666666667
3,516,1127.65,310,0.0,172.0
4,1362,2989.2200000000003,24,0.0,340.5
3,177,455.42,2,5.555555555555555,59.0
2,240,503.15,389,0.0,120.0
4,2105,3426.32,314,0.0,526.25
5,814,1618.27,81,1.2195121951219512,162.8
15,3325,7888.0,21,2.1201413427561837,221.66666666666666
6,783,1803.96,4,4.395604395604396,130.5
1,-1,-18.38,681,100.0,-1.0
6,1529,1839.31,184,1.0,254.83333333333334
3,121,566.16,28,10.0,40.333333333333336
2,611,1923.4,378,1.5151515151515151,305.5
2,354,401.9,337,0.0,177.0
1,134,143.94,414,0.0,134.0
8,2001,3901.11,15,0.0,250.125
3,614,1433.33,402,0.0,204.66666666666666
1,353,549.84,79,0.0,353.0
7,1196,2699.2400000000002,21,2.197802197802198,170.85714285714286
1,73,234.75000000000003,590,0.0,73.0
7,1305,2376.75,71,4.464285714285714,186.42857142857142
2,819,1272.48,63,0.0,409.5
18,3200,4700.82,15,1.2244897959183674,177.77777777777777
1,591,931.4300000000001,673,0.0,591.0
2,1263,2409.9,35,0.0,631.5
7,2198,1962.3,118,0.0,314.0
1,91,205.25,413,0.0,91.0
1,11,84.3,302,0.0,11.0
7,583,1244.15,322,1.4084507042253522,83.28571428571429
3,259,1001.36,49,10.0,86.33333333333333
1,1,63.24,681,0.0,1.0
7,3383,6072.21,21,2.3529411764705883,483.2857142857143
5,1416,1708.12,49,0.0,283.2
14,2186,4279.64,32,6.470588235294119,156.14285714285714
4,339,1001.46,300,4.761904761904762,84.75
1,138,346.9,409,0.0,138.0
8,1991,2581.03,74,3.0534351145038165,248.875
6,315,935.5,66,3.7735849056603774,52.5
8,301,692.4100000000001,216,24.324324324324326,37.625
1,132,202.56,656,0.0,132.0
27,2860,6688.71,2,2.638522427440633,105.92592592592592
5,1087,2016.95,112,0.9708737864077669,217.4
2,231,503.01,385,0.0,115.5
1,345,600.39,63,0.0,345.0
8,647,1092.83,15,2.9850746268656714,80.875
21,2591,4119.35,95,2.272727272727273,123.38095238095238
11,1781,2612.19,0,0.6024096385542169,161.9090909090909
7,2015,3289.7799999999997,162,5.154639175257731,287.85714285714283
3,1103,1680.81,77,4.2105263157894735,367.6666666666667
3,577,1311.41,194,6.097560975609756,192.33333333333334
5,236,708.37,11,11.428571428571429,47.2
12,3503,7877.2,25,2.0,291.9166666666667
9,2770,6154.01,8,0.6493506493506493,307.77777777777777
1,117,256.4,42,0.0,117.0
33,4532,10293.66,35,1.7632241813602016,137.33333333333334
5,1801,5059.32,42,0.0,360.2
5,511,1062.48,84,5.405405405405405,102.2
1,211,509.01,99,0.0,211.0
47,7930,12394.85,1,3.264604810996564,168.72340425531914
2,1180,2906.85,13,0.0,590.0
3,448,1089.18,682,4.054054054054054,149.33333333333334
3,308,768.15,456,8.571428571428571,102.66666666666667
1,121,173.55,366,0.0,121.0
1,182,172.06,2,0.0,182.0
1,182,485.31,731,0.0,182.0
5,1153,5005.46,20,0.0,230.6
3,204,426.48,21,4.0,68.0
1,351,1002.3100000000001,57,0.0,351.0
1,190,476.49,242,0.0,190.0
1,243,449.45,43,0.0,243.0
6,2282,4835.89,21,0.0,380.3333333333333
7,435,666.95,155,7.5,62.142857142857146
3,183,428.57000000000005,16,4.3478260869565215,61.0
1,473,707.09,133,0.0,473.0
9,2232,4292.71,52,44.44444444444444,248.0
10,3302,5879.95,72,0.0,330.2
4,1616,3153.89,43,3.10077519379845,404.0
14,937,2472.31,57,8.695652173913043,66.92857142857143
4,986,1777.49,70,0.0,246.5
1,258,454.36,604,0.0,258.0
1,170,326.65,455,0.0,170.0
2,287,826.88,93,0.0,143.5
4,514,1124.01,1,13.88888888888889,128.5
7,757,1303.63,45,5.681818181818182,108.14285714285714
8,112,1212.05,9,0.0,14.0
3,475,733.89,7,7.8431372549019605,158.33333333333334
1,1,56.73,681,0.0,1.0
2,0,0.0,385,50.0,0.0
10,2184,3624.55,142,7.975460122699387,218.4
1,95,211.95,689,0.0,95.0
129,16427,37920.01,1,12.287480680061824,127.34108527131782
37,9978,15447.69,30,12.849740932642487,269.6756756756757
9,2338,2837.73,28,6.179775280898876,259.77777777777777
54,7787,11948.75,16,6.964520367936925,144.2037037037037
2,771,1149.64,53,0.0,385.5
38,5535,13684.12,0,8.540925266903916,145.6578947368421
12,6086,20173.64,22,1.3986013986013985,507.1666666666667
1,236,680.99,3,0.0,236.0
3,351,477.3,3,11.428571428571429,117.0
8,2947,5435.1,27,1.2244897959183674,368.375
18,7020,12041.15,22,1.0416666666666665,390.0
27,2133,4823.47,16,6.122448979591836,79.0
16,3255,6287.8,32,1.875,203.4375
1,414,708.1,528,0.0,414.0
1,523,1037.28,431,0.0,523.0
2,144,259.8,730,33.33333333333333,72.0
3,529,1298.66,9,0.0,176.33333333333334
1,105,334.93,335,0.0,105.0
22,5902,9818.64,4,0.21598272138228944,268.27272727272725
1,260,460.40000000000003,38,0.0,260.0
3,444,715.21,62,0.0,148.0
3,206,416.79,165,4.3478260869565215,68.66666666666667
