Customer ID,TotalInvoices,TotalQuantity,TotalPrice,Recency,CancellationPercentage,AvgItemsPerOrder
12346,17,53,-51.74000000000524,162,27.659574468085108,3.1176470588235294
12347,5,1822,2817.48,20,0.0,364.4
12348,4,2497,1709.3999999999999,85,0.0,624.25
12349,4,988,2646.9900000000002,244,4.672897196261682,247.0
12351,1,261,300.93,212,0.0,261.0
12352,10,376,944.98,99,0.0,37.6
12353,2,212,406.76,40,0.0,106.0
12355,2,543,947.61,51,0.0,271.5
12356,5,3411,6313.38,82,0.0,682.2
12357,2,3879,12079.99,225,0.0,1939.5
12358,3,831,2719.01,212,0.0,277.0
12359,12,1875,5929.29,26,2.9197080291970803,156.25
12360,7,1727,2634.41,37,1.1235955056179776,246.71428571428572
12361,4,235,511.25,124,0.0,58.75
12362,4,503,1099.44,62,0.0,125.75
12366,1,296,500.24,470,0.0,296.0
12368,1,330,917.7,465,0.0,330.0
12369,3,1241,1791.15,250,0.0,413.6666666666667
12370,6,2224,3577.28,111,0.0,370.6666666666667
12371,3,845,2179.42,246,0.0,281.6666666666667
12373,3,516,1127.65,148,0.0,172.0
12374,3,1020,2246.29,258,0.0,340.0
12376,2,240,503.15,226,0.0,120.0
12377,4,2105,3426.32,152,0.0,526.25
12378,1,787,1407.7,399,0.0,787.0
12379,3,619,1227.82,7,0.0,206.33333333333334
12380,11,2492,5774.99,22,2.8089887640449436,226.54545454545453
12382,1,-1,-18.38,519,100.0,-1.0
12383,6,1529,1839.31,21,1.4492753623188406,254.83333333333334
12385,2,611,1923.4,216,1.5151515151515151,305.5
12386,2,354,401.9,174,0.0,177.0
12387,1,134,143.94,252,0.0,134.0
12388,5,870,1886.7,112,0.0,174.0
12389,3,614,1433.33,239,0.0,204.66666666666666
12391,6,903,2259.58,301,3.3333333333333335,150.5
12392,1,73,234.75000000000003,428,0.0,73.0
12393,6,1011,1855.25,82,7.142857142857142,168.5
12395,11,2574,3254.46,48,0.847457627118644,234.0
12396,1,591,931.4300000000001,511,0.0,591.0
12399,6,2023,1752.68,20,0.0,337.1666666666667
12400,1,91,205.25,251,0.0,91.0
12402,7,583,1244.15,160,1.4084507042253522,83.28571428571429
12403,1,164,591.6600000000001,358,0.0,164.0
12404,1,1,63.24,519,0.0,1.0
12406,5,2367,4412.71,20,1.6129032258064515,473.4
12408,11,1512,2897.86,0,5.263157894736842,137.45454545454547
12409,7,10626,18240.62,19,1.89873417721519,1518.0
12410,4,339,1001.46,138,0.0,84.75
12411,1,138,346.9,246,0.0,138.0
12412,6,1520,1868.65,6,5.714285714285714,253.33333333333334
12413,5,234,741.3000000000001,73,5.128205128205128,46.8
12414,8,301,692.4100000000001,54,47.368421052631575,37.625
12415,18,61103,93260.85,14,0.0,3394.6111111111113
12416,1,132,202.56,493,0.0,132.0
12417,22,2004,4957.83,24,3.3175355450236967,91.0909090909091
12418,4,680,1348.37,250,1.4492753623188406,170.0
12419,2,231,503.01,222,0.0,115.5
12421,6,412,682.59,10,3.125,68.66666666666667
12422,20,2509,3971.65,5,2.666666666666667,125.45
12423,8,1441,2214.77,28,0.0,180.125
12424,5,1275,1528.82,259,7.462686567164178,255.0
12425,2,607,903.61,267,6.779661016949152,303.5
12426,3,577,1311.41,31,9.615384615384617,192.33333333333334
12427,2,70,246.55,188,23.076923076923077,35.0
12429,8,2258,5248.49,9,1.2987012987012987,282.25
12431,24,2936,7002.900000000001,27,1.4851485148514851,122.33333333333333
12433,6,6044,7052.99,202,0.34843205574912894,1007.3333333333334
12434,4,194,542.59,86,13.043478260869565,48.5
12435,5,3782,10075.03,104,0.0,756.4
12437,38,6651,9920.17,14,4.627249357326478,175.02631578947367
12439,3,448,1089.18,519,4.054054054054054,149.33333333333334
12440,3,308,768.15,294,8.571428571428571,102.66666666666667
12441,1,121,173.55,203,0.0,121.0
12443,1,182,485.31,569,0.0,182.0
12445,2,142,293.08000000000004,236,4.761904761904762,71.0
12449,3,1119,1627.53,24,0.0,373.0
12450,6,371,570.95,10,9.375,61.833333333333336
12451,6,6876,8920.83,54,0.7692307692307693,1146.0
12454,7,2232,4292.71,232,40.476190476190474,318.85714285714283
12455,7,2843,5376.39,26,0.0,406.14285714285717
12457,7,534,1396.88,70,12.0,76.28571428571429
12458,3,750,1272.01,121,0.0,250.0
12459,1,258,454.36,442,0.0,258.0
12460,1,170,326.65,293,0.0,170.0
12466,1,1,56.73,519,0.0,1.0
12467,2,0,0.0,223,50.0,0.0
12468,9,2186,3630.05,24,8.148148148148149,242.88888888888889
12469,2,2552,3070.54,359,0.0,1276.0
12470,1,95,211.95,526,0.0,95.0
12471,105,11369,26918.13,41,13.37142857142857,108.27619047619048
12472,31,8472,13261.83,16,12.285714285714286,273.2903225806452
12474,41,4947,7944.400000000001,3,6.140350877192982,120.65853658536585
12475,1,236,426.26,246,0.0,236.0
12476,28,4013,9489.99,40,6.907894736842106,143.32142857142858
12477,6,3831,11629.4,76,0.0,638.5
12480,6,2002,3740.7400000000002,104,2.2556390977443606,333.6666666666667
12481,16,6077,10546.59,16,1.4084507042253522,379.8125
12482,32,27039,21893.53,286,1.4492753623188406,844.96875
12483,22,1660,3753.9500000000003,20,5.0,75.45454545454545
