Customer ID,TotalInvoices,TotalQuantity,TotalPrice,Recency,CancellationPercentage,AvgItemsPerOrder
12346,17,53,-51.74000000000524,12,27.659574468085108,3.1176470588235294
12347,3,1143,1798.71,4,0.0,381.0
12348,3,2228,1342.3999999999999,5,0.0,742.6666666666666
12349,4,988,2646.9900000000002,94,4.672897196261682,247.0
12351,1,261,300.93,62,0.0,261.0
12352,2,188,343.8,62,0.0,94.0
12353,1,192,317.76,95,0.0,192.0
12355,1,303,488.21000000000004,254,0.0,303.0
12356,4,3041,5831.92,12,0.0,760.25
12357,2,3879,12079.99,75,0.0,1939.5
12358,3,831,2719.01,62,0.0,277.0
12359,9,1058,3016.86,18,2.9197080291970803,117.55555555555556
12360,6,1293,1550.83,66,1.1235955056179776,215.5
12361,3,144,321.35,149,0.0,48.0
12362,1,1,130.0,425,0.0,1.0
12366,1,296,500.24,320,0.0,296.0
12368,1,330,917.7,314,0.0,330.0
12369,3,1241,1791.15,100,0.0,413.6666666666667
12370,5,1219,2638.89,44,0.0,243.8
12371,3,845,2179.42,96,0.0,281.6666666666667
12373,2,319,763.0500000000001,311,0.0,159.5
12374,3,1020,2246.29,108,0.0,340.0
12376,2,240,503.15,76,0.0,120.0
12377,4,2105,3426.32,2,0.0,526.25
12378,1,787,1407.7,249,0.0,787.0
12379,2,408,767.98,109,0.0,204.0
12380,10,2199,5167.4400000000005,68,2.8089887640449436,219.9
12382,1,-1,-18.38,368,100.0,-1.0
12383,3,1341,1240.63,11,1.4492753623188406,447.0
12385,2,611,1923.4,66,1.5151515151515151,305.5
12386,2,354,401.9,24,0.0,177.0
12387,1,134,143.94,101,0.0,134.0
12388,3,743,1551.75,13,0.0,247.66666666666666
12389,3,614,1433.33,89,0.0,204.66666666666666
12391,6,903,2259.58,151,3.3333333333333335,150.5
12392,1,73,234.75000000000003,278,0.0,73.0
12393,5,787,1433.65,16,7.142857142857142,157.4
12395,6,1839,2379.51,25,0.847457627118644,306.5
12396,1,591,931.4300000000001,361,0.0,591.0
12399,3,1020,853.65,72,0.0,340.0
12400,1,91,205.25,101,0.0,91.0
12402,7,583,1244.15,10,1.4084507042253522,83.28571428571429
12403,1,164,591.6600000000001,208,0.0,164.0
12404,1,1,63.24,368,0.0,1.0
12406,4,1574,2791.46,75,1.6129032258064515,393.5
12408,5,787,1437.07,66,5.263157894736842,157.4
12409,6,7484,12033.54,107,1.89873417721519,1247.3333333333333
12410,1,130,320.38,189,0.0,130.0
12411,1,138,346.9,96,0.0,138.0
12412,5,1162,1354.15,88,5.714285714285714,232.4
12413,4,209,656.65,18,5.128205128205128,52.25
