Customer ID,TotalInvoices,TotalQuantity,TotalPrice,Recency,CancellationPercentage,AvgItemsPerOrder
12346,15,53,-51.739999999999995,102,26.666666666666668,3.533333333333333
12347,2,828,1323.32,38,0.0,414.0
12348,2,1627,1114.96,28,0.0,813.5
12349,4,988,2646.9900000000002,78,4.672897196261682,247.0
12351,1,261,300.93,46,0.0,261.0
12352,2,188,343.8,46,0.0,94.0
12353,1,192,317.76,79,0.0,192.0
12355,1,303,488.21000000000004,238,0.0,303.0
12356,3,1825,3560.3,51,0.0,608.3333333333334
12357,2,3879,12079.99,59,0.0,1939.5
12358,3,831,2719.01,46,0.0,277.0
12359,9,1058,3016.86,2,2.9197080291970803,117.55555555555556
12360,6,1293,1550.83,50,1.1235955056179776,215.5
12361,3,144,321.35,133,0.0,48.0
12362,1,1,130.0,409,0.0,1.0
12366,1,296,500.24,304,0.0,296.0
12368,1,330,917.7,299,0.0,330.0
12369,3,1241,1791.15,84,0.0,413.6666666666667
12370,5,1219,2638.89,28,0.0,243.8
12371,3,845,2179.42,80,0.0,281.6666666666667
12373,2,319,763.0500000000001,295,0.0,159.5
12374,3,1020,2246.29,92,0.0,340.0
12376,2,240,503.15,60,0.0,120.0
12377,3,1765,2799.7200000000003,25,0.0,588.3333333333334
12378,1,787,1407.7,233,0.0,787.0
12379,2,408,767.98,93,0.0,204.0
12380,10,2199,5167.4400000000005,52,2.8089887640449436,219.9
12382,1,-1,-18.38,353,100.0,-1.0
12383,2,1344,1251.88,2,0.0,672.0
12385,2,611,1923.4,50,1.5151515151515151,305.5
12386,2,354,401.9,8,0.0,177.0
12387,1,134,143.94,86,0.0,134.0
12388,2,539,1120.45,116,0.0,269.5
12389,3,614,1433.33,73,0.0,204.66666666666666
12391,6,903,2259.58,135,3.3333333333333335,150.5
12392,1,73,234.75000000000003,262,0.0,73.0
12393,5,787,1433.65,0,7.142857142857142,157.4
12395,6,1839,2379.51,9,0.847457627118644,306.5
12396,1,591,931.4300000000001,345,0.0,591.0
12399,3,1020,853.65,56,0.0,340.0
12400,1,91,205.25,85,0.0,91.0
12402,6,489,1018.5500000000001,63,1.6666666666666667,81.5
12403,1,164,591.6600000000001,192,0.0,164.0
12404,1,1,63.24,353,0.0,1.0
12406,4,1574,2791.46,59,1.6129032258064515,393.5
12408,5,787,1437.07,50,5.263157894736842,157.4
12409,6,7484,12033.54,91,1.89873417721519,1247.3333333333333
12410,1,130,320.38,173,0.0,130.0
12411,1,138,346.9,80,0.0,138.0
12412,5,1162,1354.15,73,5.714285714285714,232.4
12413,4,209,656.65,2,5.128205128205128,52.25
12414,5,1,130.0,134,47.368421052631575,0.2
12415,9,18831,26636.82,4,0.0,2092.3333333333335
12416,1,132,202.56,327,0.0,132.0
12417,17,1376,3369.3,7,3.5897435897435894,80.94117647058823
12418,4,680,1348.37,84,1.4492753623188406,170.0
12419,2,231,503.01,56,0.0,115.5
12421,3,164,286.56,86,4.761904761904762,54.666666666666664
12422,18,2221,3315.79,65,2.9197080291970803,123.38888888888889
12423,3,642,1001.01,24,0.0,214.0
12424,5,1275,1528.82,93,7.462686567164178,255.0
12425,2,607,903.61,101,6.779661016949152,303.5
12426,2,319,728.6800000000001,317,9.615384615384617,159.5
12427,2,70,246.55,22,23.076923076923077,35.0
12429,6,1667,3685.11,36,1.2987012987012987,277.8333333333333
12431,17,1929,4651.22,28,1.6483516483516485,113.47058823529412
12433,6,6044,7052.99,37,0.34843205574912894,1007.3333333333334
12434,2,125,269.54,31,13.043478260869565,62.5
12435,4,2903,6096.04,67,0.0,725.75
12437,29,5147,7890.89,2,4.627249357326478,177.48275862068965
12439,3,448,1089.18,353,4.054054054054054,149.33333333333334
12440,3,308,768.15,128,8.571428571428571,102.66666666666667
12441,1,121,173.55,37,0.0,121.0
12443,1,182,485.31,403,0.0,182.0
12445,2,142,293.08000000000004,70,4.761904761904762,71.0
12449,2,729,768.6,81,0.0,364.5
12450,5,307,469.07,70,9.375,61.4
12451,4,2771,3613.01,134,1.257861635220126,692.75
12454,7,2232,4292.71,66,40.476190476190474,318.85714285714283
12455,4,1213,3413.09,116,0.0,303.25
12457,2,243,554.53,88,12.0,121.5
12458,2,480,830.09,98,0.0,240.0
12459,1,258,454.36,276,0.0,258.0
12460,1,170,326.65,127,0.0,170.0
12466,1,1,56.73,353,0.0,1.0
12467,2,0,0.0,57,50.0,0.0
12468,7,1820,2900.51,100,8.94308943089431,260.0
12469,2,2552,3070.54,193,0.0,1276.0
12470,1,95,211.95,360,0.0,95.0
12471,90,10007,23368.25,1,13.073394495412844,111.18888888888888
12472,26,6890,10727.210000000001,40,13.069908814589665,265.0
12474,27,3115,5099.38,0,6.5625,115.37037037037037
12475,1,236,426.26,80,0.0,236.0
12476,21,3196,7125.09,32,6.907894736842106,152.1904761904762
12477,3,2466,7056.63,70,0.0,822.0
12480,5,1607,2969.7200000000003,7,2.2556390977443606,321.4
