Customer ID,TotalInvoices,TotalQuantity,TotalPrice,Recency,CancellationPercentage,AvgItemsPerOrder
12346,17,53,-51.74000000000524,40,27.659574468085108,3.1176470588235294
12347,3,1143,1798.71,32,0.0,381.0
12348,3,2228,1342.3999999999999,33,0.0,742.6666666666666
12349,4,988,2646.9900000000002,122,4.672897196261682,247.0
12350,1,197,334.40000000000003,24,0.0,197.0
12351,1,261,300.93,90,0.0,261.0
12352,3,286,640.3000000000001,11,0.0,95.33333333333333
12353,1,192,317.76,123,0.0,192.0
12355,1,303,488.21000000000004,282,0.0,303.0
12356,4,3041,5831.92,40,0.0,760.25
12357,2,3879,12079.99,103,0.0,1939.5
12358,3,831,2719.01,90,0.0,277.0
12359,10,1523,4855.77,20,1.8433179723502304,152.3
12360,6,1293,1550.83,94,1.1235955056179776,215.5
12361,4,235,511.25,2,0.0,58.75
12362,3,228,604.2,3,6.666666666666667,76.0
12365,3,173,320.69,6,4.3478260869565215,57.666666666666664
12366,1,296,500.24,348,0.0,296.0
12368,1,330,917.7,343,0.0,330.0
12369,3,1241,1791.15,128,0.0,413.6666666666667
12370,5,1219,2638.89,72,0.0,243.8
12371,3,845,2179.42,124,0.0,281.6666666666667
12372,1,224,399.22,11,0.0,224.0
12373,3,516,1127.65,26,0.0,172.0
12374,3,1020,2246.29,136,0.0,340.0
12376,2,240,503.15,104,0.0,120.0
12377,4,2105,3426.32,30,0.0,526.25
12378,1,787,1407.7,277,0.0,787.0
12379,2,408,767.98,137,0.0,204.0
12380,10,2199,5167.4400000000005,96,2.8089887640449436,219.9
12382,1,-1,-18.38,396,100.0,-1.0
12383,3,1341,1240.63,39,1.4492753623188406,447.0
12385,2,611,1923.4,94,1.5151515151515151,305.5
12386,2,354,401.9,52,0.0,177.0
12387,1,134,143.94,129,0.0,134.0
12388,4,780,1675.8,20,0.0,195.0
12389,3,614,1433.33,117,0.0,204.66666666666666
12391,6,903,2259.58,179,3.3333333333333335,150.5
12392,1,73,234.75000000000003,306,0.0,73.0
12393,5,787,1433.65,44,7.142857142857142,157.4
12395,8,2098,2596.17,9,1.5037593984962405,262.25
12396,1,591,931.4300000000001,389,0.0,591.0
12399,3,1020,853.65,100,0.0,340.0
12400,1,91,205.25,129,0.0,91.0
12401,1,11,84.3,18,0.0,11.0
12402,7,583,1244.15,38,1.4084507042253522,83.28571428571429
12403,1,164,591.6600000000001,236,0.0,164.0
12404,1,1,63.24,396,0.0,1.0
12406,4,1574,2791.46,103,1.6129032258064515,393.5
12408,5,787,1437.07,94,5.263157894736842,157.4
12409,6,7484,12033.54,135,1.89873417721519,1247.3333333333333
12410,4,339,1001.46,16,4.761904761904762,84.75
12411,1,138,346.9,124,0.0,138.0
12412,5,1162,1354.15,116,5.714285714285714,232.4
12413,4,209,656.65,46,5.128205128205128,52.25
12414,6,146,283.76,25,34.61538461538461,24.333333333333332
12415,10,27215,40659.74,12,0.0,2721.5
12416,1,132,202.56,371,0.0,132.0
12417,18,1484,3692.7400000000002,33,3.3175355450236967,82.44444444444444
12418,4,680,1348.37,128,1.4492753623188406,170.0
12419,2,231,503.01,100,0.0,115.5
12421,4,268,444.01,34,3.125,67.0
12422,19,2334,3554.29,39,2.666666666666667,122.84210526315789
12423,4,836,1193.32,6,0.0,209.0
12424,5,1275,1528.82,137,7.462686567164178,255.0
12425,2,607,903.61,145,6.779661016949152,303.5
12426,2,319,728.6800000000001,361,9.615384615384617,159.5
12427,2,70,246.55,66,23.076923076923077,35.0
12429,6,1667,3685.11,80,1.2987012987012987,277.8333333333333
12431,20,2535,6088.55,0,1.2048192771084338,126.75
12433,6,6044,7052.99,80,0.34843205574912894,1007.3333333333334
12434,2,125,269.54,75,13.043478260869565,62.5
12435,4,2903,6096.04,111,0.0,725.75
12437,33,5711,8426.4,3,4.513064133016627,173.06060606060606
12439,3,448,1089.18,397,4.054054054054054,149.33333333333334
12440,3,308,768.15,172,8.571428571428571,102.66666666666667
12441,1,121,173.55,81,0.0,121.0
12443,1,182,485.31,447,0.0,182.0
12445,2,142,293.08000000000004,114,4.761904761904762,71.0
12449,2,729,768.6,125,0.0,364.5
12450,5,307,469.07,113,9.375,61.4
12451,5,5105,6532.52,39,0.7692307692307693,1021.0
